domain,nist_800_369_control,nist_800_171_control,nist_800_53_control,control_requirement,weight,implementation_status,tailored_for_school_environment,control_owner,review_notes,status_score,weighted_points,risk_level
Secure Software Development Lifecycle (SDLC),NIST 800-369.V.1,3.16 System & Services Acquisition,SA – System & Services Acquisition,"Secure design principles, secure coding standards",3,Implemented,Yes,IT Security,,1.0,3.0,Low
Secure Software Development Lifecycle (SDLC),NIST 800-369.V.1,3.16.01 Security Engineering Principles,SA-3 System Development Life Cycle,Integrate security into development lifecycle,3,Implemented,No,Compliance,,1.0,3.0,Low
Secure Software Development Lifecycle (SDLC),NIST 800-369.V.1,,SA-8 Security Engineering Principles,Secure architecture and design review,3,Partial,Yes,IT Operations,,0.5,1.5,Low
Secure Software Development Lifecycle (SDLC),NIST 800-369.V.1,,SA-11 Developer Security Testing,Static and dynamic code analysis,3,Not Implemented,No,Vendor Management,,0.0,0.0,Medium
Secure Software Development Lifecycle (SDLC),NIST 800-369.V.1,,SA-15 Development Process Standards,Secure coding practices,3,Implemented,Yes,School Admin,,1.0,3.0,Low
Secure Software Development Lifecycle (SDLC),NIST 800-369.V.1,,SA-22 Unsupported System Components,Maintain supported secure components,3,Partial,Yes,IT Security,,0.5,1.5,Low
Data Classification & Protection,NIST 800-369.W.1,3.8 Media Protection,MP – Media Protection,Classification of educational data,5,Implemented,Yes,Compliance,,1.0,5.0,Low
Data Classification & Protection,NIST 800-369.W.1,3.8.01 Media Storage,MP-2 Media Access,Protect stored data,5,Implemented,No,IT Operations,,1.0,5.0,Low
Data Classification & Protection,NIST 800-369.W.1,3.8.02 Media Access,MP-5 Media Transport,Control data access,5,Partial,Yes,Vendor Management,,0.5,2.5,Medium
Data Classification & Protection,NIST 800-369.W.1,,IA / AC Controls,Restrict access to classified data,5,Not Implemented,No,School Admin,,0.0,0.0,High
Data Classification & Protection,NIST 800-369.W.1,,PL-8 Information Security Architecture,Define classification policies,5,Implemented,Yes,IT Security,,1.0,5.0,Low
Data Classification & Protection,NIST 800-369.W.1,,SC-28 Protection of Information at Rest,Encryption of sensitive data,5,Partial,Yes,Compliance,,0.5,2.5,Medium
Third-Party Security & Vendor Management,NIST 800-369.X.1,3.16 System & Services Acquisition,SA – System & Services Acquisition,Vendor security assessments,3,Implemented,Yes,IT Operations,,1.0,3.0,Low
Third-Party Security & Vendor Management,NIST 800-369.X.1,3.16.03 External System Services,SA-9 External System Services,Secure external services,3,Implemented,No,Vendor Management,,1.0,3.0,Low
Third-Party Security & Vendor Management,NIST 800-369.X.1,,SR – Supply Chain Risk Management,Supply chain security,3,Partial,Yes,School Admin,,0.5,1.5,Low
Third-Party Security & Vendor Management,NIST 800-369.X.1,,SR-3 Supply Chain Controls,Vendor risk monitoring,3,Not Implemented,No,IT Security,,0.0,0.0,Medium
